state_postal_abbrev,county_number,fips_code,county_name,2012_total_votes,obama_votes,romney_votes,obama_percent,romney_percent,obama_two_party_margin,2016_results_official,2016_total_votes,clinton_votes,trump_votes,clinton_percent,trump_percent,clinton_two_party_margin,2012_2016_margin_change,2012_adult_pop,2016_extrapolated_adult_pop,2012_turnout,2016_turnout,2012_2016_turnout_change,2012_two_party_turnout,2016_two_party_turnout,2012_2016_two_party_turnout_change,2012_2016_democratic_turnout_change,2012_2016_republican_turnout_change
AL,1001,1001,Autauga,23973,6363,17379,0.2654,0.7249,-0.4640,1,24973,5936,18172,0.2377,0.7277,-0.5075,-0.0436,40874,41934,0.5865,0.5955,0.0090,0.5809,0.5749,-0.0060,-0.0141,0.0082
AL,1002,1003,Baldwin,85491,18424,66016,0.2155,0.7722,-0.5636,1,95215,18458,72883,0.1939,0.7655,-0.5958,-0.0322,147416,162548,0.5799,0.5858,0.0058,0.5728,0.5619,-0.0109,-0.0114,0.0006
AL,1003,1005,Barbour,11517,5912,5550,0.5133,0.4819,0.0316,1,10469,4871,5454,0.4653,0.5210,-0.0565,-0.0880,21334,20602,0.5398,0.5082,-0.0317,0.5373,0.5012,-0.0361,-0.0407,0.0046
AL,1004,1007,Bibb,8420,2202,6132,0.2615,0.7283,-0.4716,1,8819,1874,6738,0.2125,0.7640,-0.5648,-0.0932,17796,17961,0.4731,0.4910,0.0179,0.4683,0.4795,0.0112,-0.0194,0.0306
AL,1005,1009,Blount,24060,2970,20757,0.1234,0.8627,-0.7497,1,25588,2156,22859,0.0843,0.8933,-0.8276,-0.0780,43876,44516,0.5484,0.5748,0.0264,0.5408,0.5619,0.0212,-0.0193,0.0404
AL,1006,1011,Bullock,5322,4061,1251,0.7631,0.2351,0.5290,1,4710,3530,1140,0.7495,0.2420,0.5118,-0.0172,8427,8429,0.6315,0.5588,-0.0728,0.6304,0.5540,-0.0763,-0.0631,-0.0132
AL,1007,1013,Butler,9502,4374,5087,0.4603,0.5354,-0.0754,1,8732,3726,4901,0.4267,0.5613,-0.1362,-0.0608,15714,15354,0.6047,0.5687,-0.0360,0.6021,0.5619,-0.0402,-0.0357,-0.0045
AL,1008,1015,Calhoun,46364,15511,30278,0.3345,0.6530,-0.3225,1,47864,13242,32865,0.2767,0.6866,-0.4256,-0.1031,90966,89903,0.5097,0.5324,0.0227,0.5034,0.5129,0.0095,-0.0232,0.0327
AL,1009,1017,Chambers,14629,6871,7626,0.4697,0.5213,-0.0521,1,13900,5784,7843,0.4161,0.5642,-0.1511,-0.0990,26685,26957,0.5482,0.5156,-0.0326,0.5433,0.5055,-0.0378,-0.0429,0.0052
AL,1010,1019,Cherokee,9792,2132,7506,0.2177,0.7665,-0.5576,1,10733,1547,8953,0.1441,0.8342,-0.7053,-0.1477,20571,20614,0.4760,0.5207,0.0447,0.4685,0.5094,0.0408,-0.0286,0.0694
